Rk,Player,Tm,Age,POS,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
277,Brock Wright,DET,23,TE,10,5,17,12,117,2,6,53,4.4,64,5.3,4.1,0,,1,5.9,1,104.3
278,Tevin Coleman,NYJ,28,RB,11,5,16,11,49,0,2,-34,-3.1,83,7.5,-1.1,0,,2,12.5,0,72.1
279,Kylen Granson,IND,23,,17,0,15,11,106,0,4,30,2.7,76,6.9,3.9,0,,0,0,0,92.6
280,Jakeem Grant*,2TM,29,,15,0,17,11,132,2,7,29,2.6,103,9.4,4.7,3,3.7,2,11.8,1,103.1
281,Blake Jarwin,DAL,27,TE,8,5,17,11,96,2,5,58,5.3,38,3.5,7.5,0,,0,0,1,94.2
282,Collin Johnson,NYG,24,WR,12,1,21,11,105,0,6,87,7.9,18,1.6,8.5,2,5.5,1,4.8,1,46.7
283,Breshad Perriman,TAM,28,,6,0,18,11,167,1,5,65,5.9,102,9.3,8.4,1,11,1,5.6,0,110.2
284,John Ross,NYG,26,WR,10,1,20,11,224,1,8,185,16.8,39,3.5,15.7,1,11,1,5,0,111.2
285,Drew Sample,CIN,25,TE,17,8,15,11,81,0,3,-1,-0.1,82,7.5,2.3,2,5.5,1,6.7,0,85.7
286,Ben Skowronek,LAR,24,WR,14,1,20,11,133,0,7,80,7.3,53,4.8,10.5,1,11,3,15,1,54.8
287,Peyton Barber,LVR,27,RB,10,1,13,10,67,0,3,-6,-0.6,73,7.3,1.5,2,5,2,15.4,0,87.7
288,Trinity Benson,DET,24,WR,8,2,22,10,103,0,4,52,5.2,51,5.1,7.5,0,,3,13.6,1,40.5
289,Parris Campbell,IND,24,WR,6,3,20,10,162,1,7,145,14.5,17,1.7,16.7,0,,0,0,0,94.2
290,D'Wayne Eskridge,SEA,24,,10,0,20,10,64,1,4,32,3.2,32,3.2,12.6,2,5,0,0,0,73.7
291,Royce Freeman,2TM,25,,15,0,16,10,77,0,4,2,0.2,75,7.5,-0.4,0,,1,6.3,0,74.2
292,Cyril Grayson,TAM,28,WR,5,3,12,10,212,2,8,142,14.2,70,7,15.4,0,,0,0,0,158.3
293,Alec Ingold,LVR,25,FB,9,3,12,10,85,1,4,39,3.9,46,4.6,4.7,1,10,1,8.3,0,124
294,Ronald Jones II,TAM,24,RB,16,3,13,10,64,0,2,-13,-1.3,77,7.7,-1.2,1,10,1,7.7,0,86.7
295,Latavius Murray,BAL,31,RB,14,6,13,10,75,0,2,4,0.4,71,7.1,0.1,0,,1,7.7,0,90.2
296,Jaret Patterson,WAS,22,RB,17,1,11,10,73,0,5,-2,-0.2,75,7.5,-0.3,0,,0,0,0,94.3
297,Dante Pettis,NYG,26,,3,0,16,10,87,1,5,49,4.9,38,3.8,6.4,0,,2,12.5,1,71.6
298,Anthony Schwartz,CLE,21,WR,14,2,23,10,135,1,6,125,12.5,10,1,17.2,0,,1,4.3,1,59.1
299,Dede Westbrook,MIN,28,,15,0,15,10,68,0,3,51,5.1,17,1.7,7.3,0,,0,0,0,76.5
300,Blake Bell,KAN,30,TE,16,5,13,9,87,0,4,20,2.2,67,7.4,2.4,0,,1,7.7,0,87.7
301,Alex Collins,SEA,27,RB,11,6,10,9,87,0,3,-9,-1,96,10.7,0.2,1,9,0,0,0,102.9
302,D'Onta Foreman,TEN,25,RB,9,3,11,9,123,0,6,2,0.2,121,13.4,0.2,1,9,1,9.1,0,113.3
303,Jacob Hollister,JAX,28,TE,7,2,14,9,55,1,2,27,3,28,3.1,5.7,0,,1,7.1,2,56.2
304,Marcus Johnson,TEN,27,WR,7,3,19,9,160,0,7,65,7.2,95,10.6,9,1,9,0,0,1,54.7
305,Dax Milne,WAS,22,WR,13,1,14,9,83,0,4,49,5.4,34,3.8,7.6,0,,0,0,0,80.4
306,Josh Oliver,BAL,24,TE,14,1,15,9,66,0,4,41,4.6,25,2.8,8.7,0,,0,0,0,70.4
307,Elijhaa Penny,NYG,28,RB,17,3,13,9,30,1,4,-4,-0.4,34,3.8,-0.2,2,4.5,0,0,0,97.9
308,Trent Sherfield,SFO,25,WR,17,1,20,9,87,1,7,64,7.1,23,2.6,8.7,0,,1,5,1,53.5
309,Keith Smith,ATL,29,FB,17,8,10,9,56,0,3,18,2,38,4.2,2.1,2,4.5,1,10,0,90
310,Lee Smith,ATL,34,,16,6,11,9,65,1,3,34,3.8,31,3.4,3.5,0,,0,0,0,121.6
311,Equanimeous St. Brown,GNB,25,WR,13,2,17,9,98,0,6,40,4.4,58,6.4,10.3,0,,1,5.9,1,45.7
312,Tommy Sweeney,BUF,26,TE,13,3,12,9,44,1,3,30,3.3,14,1.6,5.8,0,,1,8.3,1,72.9
313,Nick Vannett,NOR,28,TE,7,2,15,9,133,1,7,41,4.6,92,10.2,5.5,1,9,3,20,0,111.2
314,Ty'Son Williams,BAL,25,RB,13,3,12,9,84,0,4,13,1.4,71,7.9,2.5,0,,0,0,0,93.7
315,Derrick Gore,KAN,27,,11,0,9,8,105,0,3,15,1.9,90,11.3,1.2,2,4,0,0,0,115.3
