Rk,Player,Tm,Age,POS,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
31,Darrell Henderson,LAR,24,RB,12,10,149,688,5,39,29,4.6,57.3,0
32,Michael Carter,NYJ,22,RB,14,11,147,639,4,29,55,4.3,45.6,1
33,Devontae Booker,NYG,29,RB,16,4,145,593,2,31,31,4.1,37.1,0
34,Darrel Williams,KAN,26,RB,17,7,144,558,6,40,21,3.9,32.8,0
36,Mike Davis,ATL,28,RB,17,8,138,503,3,21,18,3.6,29.6,4
37,Miles Sanders,PHI,24,RB,12,12,137,754,0,33,38,5.5,62.8,1
38,Alexander Mattison,MIN,23,RB,16,4,134,491,3,28,48,3.7,30.7,1
39,D'Onta Foreman,TEN,25,RB,9,3,133,566,3,22,35,4.3,62.9,2
40,Devonta Freeman,BAL,29,RB,16,8,133,576,5,31,32,4.3,36,0
42,Rhamondre Stevenson,NWE,23,RB,12,2,133,606,5,33,21,4.6,50.5,2
43,Tony Pollard,DAL,24,RB,15,0,130,719,2,35,58,5.5,47.9,2
45,Rex Burkhead,HOU,31,RB,16,5,122,427,3,30,36,3.5,26.7,1
46,Clyde Edwards-Helaire,KAN,22,RB,10,10,119,517,4,21,17,4.3,51.7,2
47,Latavius Murray,BAL,31,RB,14,6,119,501,6,36,46,4.2,35.8,0
48,Rashaad Penny,SEA,25,RB,10,6,119,749,6,28,62,6.3,74.9,0
49,Chase Edmonds,ARI,25,RB,12,11,116,592,2,32,54,5.1,49.3,1
50,Alex Collins,SEA,27,RB,11,6,108,411,2,22,25,3.8,37.4,1
51,Khalil Herbert,CHI,23,RB,17,2,103,433,2,24,29,4.2,25.5,1
52,Ronald Jones II,TAM,24,RB,16,3,101,428,4,25,30,4.2,26.8,2
53,D'Ernest Johnson,CLE,25,RB,17,2,100,534,3,24,30,5.3,31.4,1
54,Christian McCaffrey,CAR,25,RB,7,7,99,442,1,20,18,4.5,63.1,1
55,Zack Moss,BUF,24,RB,13,0,96,345,4,22,17,3.6,26.5,2
56,Phillip Lindsay,2TM,27,RB,14,1,88,249,1,11,35,2.8,17.8,0
58,Boston Scott,PHI,26,RB,16,4,87,373,7,24,23,4.3,23.3,1
59,Jordan Howard,PHI,27,RB,7,0,86,406,3,24,25,4.7,58,0
60,Tevin Coleman,NYJ,28,RB,11,5,84,356,0,19,20,4.2,32.4,0
61,Jeff Wilson,SFO,26,RB,9,4,79,294,2,19,17,3.7,32.7,1
62,Kareem Hunt,CLE,26,RB,8,1,78,386,5,22,33,4.9,48.3,0
65,Carlos Hyde,JAX,31,RB,12,2,72,253,1,14,18,3.5,21.1,2
66,Duke Johnson,MIA,28,RB,5,4,71,330,3,18,27,4.6,66,0
68,Kenneth Gainwell,PHI,22,RB,16,1,68,291,5,19,18,4.3,18.2,2
69,Justin Jackson,LAC,25,RB,14,2,68,364,2,18,75,5.4,26,1
70,Jaret Patterson,WAS,22,RB,17,1,68,266,2,15,13,3.9,15.6,1
71,David Johnson,HOU,30,RB,13,4,67,228,0,7,15,3.4,17.5,1
73,Kenyan Drake,LVR,27,RB,12,2,63,254,2,15,21,4,21.2,1
76,Ty Johnson,NYJ,24,RB,16,3,61,238,2,13,24,3.9,14.9,2
78,Deebo Samuel*+,SFO,25,WR,16,15,59,365,8,21,49,6.2,22.8,4
80,Royce Freeman,2TM,25,RB,15,0,56,169,0,8,13,3,11.3,0
81,Dontrell Hilliard,TEN,26,RB,8,5,56,350,2,15,68,6.3,43.8,2
82,Nyheim Hines,IND,25,RB,17,4,56,276,2,15,34,4.9,16.2,3
83,Peyton Barber,LVR,27,RB,10,1,55,212,2,12,27,3.9,21.2,2
84,Samaje Perine,CIN,26,RB,16,0,55,246,1,11,46,4.5,15.4,0
85,Craig Reynolds,DET,25,RB,5,2,55,230,0,11,35,4.2,46,0
87,Salvon Ahmed,MIA,23,RB,12,0,54,149,0,8,16,2.8,12.4,0
88,Chris Carson,SEA,27,RB,4,4,54,232,3,11,33,4.3,58,1
89,Tony Jones,NOR,24,RB,11,4,54,142,0,7,11,2.6,12.9,0
90,Ameer Abdullah,2TM,28,RB,17,1,51,166,0,8,15,3.3,9.8,0
91,Derrick Gore,KAN,27,RB,11,0,51,256,2,12,51,5,23.3,0
,,,,,,,,,,,,,,
